"unidade";"natureza da despesa";"valor"
"0106/2011 - ESCOLA DE POSTURA: ATENÇÃO À SAÚDE DO ESCOLAR.";"CUSTEIO";"74,60"
"0106/2011 - ESCOLA DE POSTURA: ATENÇÃO À SAÚDE DO ESCOLAR.";"CUSTEIO";"R$         7.460,32"
"0106/2011 - ESCOLA DE POSTURA: ATENÇÃO À SAÚDE DO ESCOLAR.";"EQUIP. MATERIAL PERMANENTE";"R$         4.395,99"
"0106/2011 - ESCOLA DE POSTURA: ATENÇÃO À SAÚDE DO ESCOLAR.";"MAT. CONSUMO";"R$         1.071,34"
"0144/2011 - INTERVENÇÃO MULTIPROFISSIONAL PARA TRATAMENTO DE LOMBALGIA";"CUSTEIO";"R$         8.083,44"
"0144/2011 - INTERVENÇÃO MULTIPROFISSIONAL PARA TRATAMENTO DE LOMBALGIA";"EQUIP. MATERIAL PERMANENTE";"R$         5.500,00"
"0144/2011 - INTERVENÇÃO MULTIPROFISSIONAL PARA TRATAMENTO DE LOMBALGIA";"MAT. CONSUMO";"R$           778,28"
"0357/2011 - SOM DA CIÊNCIA: OUVINDO E/OU VENDO A TRANSDICIPLINARIDADE";"CUSTEIO";"R$         2.526,14"
"0357/2011 - SOM DA CIÊNCIA: OUVINDO E/OU VENDO A TRANSDICIPLINARIDADE";"MAT. CONSUMO";"R$           164,93"
"0537/2011 - PROJETO ESTRATÉGIASUS";"CUSTEIO";"R$        10.842,74"
"0537/2011 - PROJETO ESTRATÉGIASUS";"EQUIP. MATERIAL PERMANENTE";"R$         4.428,00"
"0537/2011 - PROJETO ESTRATÉGIASUS";"MAT. CONSUMO";"R$           589,98"
"0687/2011 - INFLUÊNCIA DA APLICAÇÃO DE FERTILIZANTES ORGÂNICOS E DA INOCULAÇÃO DE FUNGOS MICORRÍZICOS NO DESENVOLVIMENTO DE GIRASSOL (HELIANTHUS ANNUUS L.)";"CUSTEIO";"R$         5.034,54"
